Time,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22
0,19.14,19.14,214.89,144.6,63.1,67.2,19.14,19.14,214.89,144.6,77.4,19.14,19.14,214.89,144.6,77.4,67.2,19.14,19.14,214.89,144.6,77.4
0.01,17.4,17.4,217.5,144.6,63.1,67.2,17.4,17.4,217.5,144.6,77.4,17.4,17.4,217.5,144.6,77.4,67.2,17.4,17.4,217.5,144.6,77.4
0.02,14.79,14.79,214.89,144.6,63.1,69.6,14.79,14.79,214.89,144.6,77.4,14.79,14.79,214.89,144.6,77.4,69.6,14.79,14.79,214.89,144.6,77.4
0.03,12.18,9.57,214.89,144.6,63.1,67.2,12.18,9.57,214.89,144.6,75,12.18,9.57,214.89,144.6,75,80.3,12.18,9.57,214.89,181.3,75
0.04,12.18,9.57,214.89,144.6,77.4,67.2,12.18,9.57,214.89,144.6,77.4,12.18,9.57,214.89,144.6,77.4,80.3,12.18,9.57,214.89,181.3,77.4
0.05,12.18,9.57,212.28,144.6,77.4,67.2,12.18,9.57,212.28,144.6,77.4,12.18,9.57,212.28,144.6,77.4,80.3,12.18,9.57,212.28,181.3,77.4
0.06,16.08,9.57,214.89,144.6,79.8,69.6,9.57,9.57,214.89,144.6,79.8,9.57,9.57,214.89,144.6,79.8,80.3,24.8,9.57,214.89,181.3,79.8
0.07,16.08,9.57,217.5,144.6,90.5,69.6,9.57,9.57,217.5,144.6,77.4,9.57,9.57,217.5,144.6,77.4,80.3,24.8,9.57,217.5,181.3,77.4
0.08,16.08,9.57,230.1,144.6,90.5,67.2,9.57,9.57,217.5,144.6,77.4,9.57,9.57,217.5,144.6,77.4,80.3,24.8,9.57,217.5,144.6,77.4
0.09,16.08,9.57,230.1,144.6,90.5,67.2,9.57,9.57,217.5,144.6,77.4,9.57,9.57,217.5,144.6,77.4,67.2,24.8,9.57,217.5,144.6,90.3
0.1,16.08,6.96,230.1,147,90.5,69.6,9.57,21.8,217.5,147,77.4,9.57,6.96,217.5,147,77.4,69.6,24.8,6.96,124.08,147,90.3
0.11,16.08,6.96,230.1,147,90.5,67.2,9.57,21.8,217.5,147,79.8,9.57,6.96,217.5,147,79.8,67.2,24.8,6.96,124.08,147,90.3
0.12,6.96,6.96,230.1,147,79.8,67.2,6.96,21.8,217.5,147,79.8,6.96,6.96,217.5,147,79.8,67.2,24.8,6.96,124.08,147,90.3
0.13,9.57,6.96,214.89,147,79.8,69.6,9.57,21.8,214.89,147,79.8,9.57,6.96,214.89,147,79.8,69.6,9.57,6.96,124.08,147,79.8
0.14,9.57,6.96,214.89,150,79.8,67.2,9.57,6.96,214.89,150,79.8,9.57,6.96,214.89,150,79.8,67.2,9.57,6.96,124.08,150,79.8
0.15,9.35,6.8,209.95,39.52,126.16,354.16,9.35,6.8,209.95,39.52,126.16,9.35,6.8,209.95,39.52,126.16,354.16,9.35,6.8,209.95,39.52,126.16
0.16,6.8,4.25,209.95,39.52,124.64,354.16,6.8,4.25,209.95,39.52,124.64,6.8,4.25,209.95,39.52,124.64,354.16,6.8,4.25,209.95,39.52,124.64
